A6,J1,J2,J20,label,A3Ar_w_2,A3Ar_w_3,A3Ar_w_4,A3Ar_w_5,A3Ar_w_6,A50A_2,A4A_new_w_2,A9_2,A9_3,A9_4,A9_5,A9_6,A9_7,A9_8
1,9,8,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,3,3,1,debtor,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,10,2,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,7,7,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,False
5,7,5,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,8,1,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,7,3,2,spender,False,True,False,False,False,False,False,True,False,False,False,False,False,False
4,9,8,1,debtor,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,7,4,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,7,7,1,debtor,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,9,7,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,4,6,1,debtor,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4,7,6,1,saver,False,False,False,False,True,True,False,False,True,False,False,False,False,False
1,8,7,1,debtor,False,False,True,False,False,True,False,False,True,False,False,False,False,False
1,10,7,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,3,6,4,saver,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,10,10,4,spender,False,True,False,False,False,True,False,False,False,True,False,False,False,False
2,3,1,4,spender,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1,9,2,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,9,3,1,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4,8,6,1,spender,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,4,3,1,spender,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2,10,1,1,debtor,False,False,False,False,True,True,False,False,True,False,False,False,False,False
2,4,4,1,saver,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,2,7,2,saver,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,8,9,2,saver,False,True,False,False,False,True,True,True,False,False,False,False,False,False
2,9,4,1,debtor,False,False,True,False,False,False,False,True,False,False,False,False,False,False
2,5,2,4,spender,False,False,False,True,False,True,False,False,False,False,False,False,True,False
5,7,4,1,debtor,False,False,True,False,False,True,True,False,True,False,False,False,False,False
2,10,1,4,debtor,False,False,False,True,False,False,True,False,False,False,False,False,False,True
5,5,1,4,saver,False,False,False,False,True,True,True,False,False,False,False,False,False,False
1,3,1,1,spender,False,False,False,True,False,True,False,False,False,True,False,False,False,False
4,7,4,2,saver,False,False,False,False,True,False,False,False,False,False,False,False,False,True
1,6,5,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
2,8,2,1,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
1,7,5,1,debtor,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1,9,2,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
2,4,5,4,spender,False,False,False,True,False,True,False,True,False,False,False,False,False,False
5,5,1,2,spender,False,False,False,False,True,True,False,False,False,False,False,False,False,True
4,8,6,1,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,9,5,1,spender,False,False,False,False,True,False,True,False,False,False,False,False,False,False
5,1,1,4,spender,False,False,False,False,True,True,True,False,False,False,False,False,True,False
1,5,5,2,spender,False,False,False,True,False,True,True,False,False,True,False,False,False,False
1,10,6,1,debtor,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,5,1,2,debtor,False,False,False,False,True,False,False,False,False,False,False,False,False,True
2,8,9,2,saver,False,True,False,False,False,False,True,True,False,False,False,False,False,False
1,8,6,1,debtor,False,False,False,False,True,False,True,False,False,False,False,False,False,True
1,7,1,3,spender,False,False,False,False,True,True,True,False,False,False,False,False,False,True
2,10,10,2,spender,False,False,False,False,False,True,True,True,False,False,False,False,False,False
4,6,98,4,saver,False,False,False,False,True,True,True,False,False,False,False,False,False,True
1,1,98,4,spender,False,True,False,False,False,True,True,False,False,False,False,False,False,False
